"","id","name","year","minplayers","maxplayers","suggested_num_players","playingtime","minplaytime","maxplaytime","minage","mechanic","numratings","average","bayesaverage","stddev","owned","trading","wanting","wishing","numcomments","numweights","averageweight","Childrens.Game","Ancient","Animals","Bluffing","Card.Game","City.Building","Civilization","Collectible.Components","Comic.BookStrip","Deduction.x","Dice","Economic","Educational","Exploration","Fantasy","Fighting","Horror","Humor","Medieval","Memory.x","Miniatures","Modern.Warfare","MoviesTVRadio.theme","Nautical","Negotiation.x","Party.Game","Political","Print...Play","Puzzle","Racing","Real.time","Science.Fiction","Sports","Territory.Building","Trains","Trivia","Wargame","Word.Game","World.War.II","Card.Drafting","Cooperative.Game","Deck","Dice.Rolling","Events","Grid.Movement","Hand.Management","Hexagon.Grid","Memory.y","Modular.Board","Movement.Points","Network.and.Route.Building","Paper.and.Pencil","Pattern.Building","Pattern.Recognition","Pick.up.and.Deliver","Player.Elimination","Point.to.Point.Movement","Push.Your.Luck","Role.Playing","RollSpin.and.Move","Secret.Unit.Deployment","Set.Collection","Simulation","Simultaneous.Action.Selection","SoloSolitaire.Game","Storytelling","Take.That","Team.Based.Game","Tile.Placement","Trading","Trick.taking","Variable.Player.Powers","Voting","Worker.Placement","category.cluster","mechanic.cluster","category.cluster.kmed","mechanic.cluster.kmed"
"943",1262,"Axis & Allies: Pacific",2001,2,3,2,240,240,240,12,"Area MajorityInfluence, Area Movement, Dice Rolling, Team-Based Game",1946,6.66876,6.04642,1.51075,3373,197,45,177,594,191,2.8691,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"5","3","4","3"
"946",1265,"Mystery Rummy: Jekyll & Hyde",2001,2,2,2,45,45,45,10,"Hand Management, Set Collection",1260,6.62114,5.97425,1.17794,2360,96,51,147,501,113,1.531,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3","1","1","1"
"966",1300,"Im Zeichen des Kreuzes",2001,2,5,4,90,90,90,10,"Area Movement, Cube Tower",290,5.92203,5.55755,1.44398,545,46,24,56,103,32,2.2188,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","1","2","4"
"975",1309,"Die Magier von Pangea",2001,2,4,4,60,60,60,10,"Modular Board, Pick-up and Deliver, Set Collection",658,6.21853,5.68717,1.32104,1017,84,28,73,244,58,2.3276,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4","1","3","5"
"979",1314,"Warhamster Rally",2001,3,5,4,45,45,45,8,"Action Points, Action Queue, Variable Player Powers",236,5.7958,5.53747,1.46778,458,58,11,24,104,28,1.7857,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"7","1","5","4"
"980",1315,"Africa",2001,2,5,3,60,60,60,10,"Set Collection",1296,5.98789,5.71142,1.33568,1442,78,66,150,566,136,1.75,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3","1","2","4"
"983",1319,"Magic Hill",2001,2,5,3,30,30,30,8,"Memory",316,5.97611,5.56743,1.28086,630,52,21,42,139,32,1.5625,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","2","1","4"
"988",1324,"Café International: Das Kartenspiel",2001,2,5,3,45,45,45,10,"Hand Management",878,5.71049,5.56375,1.48223,1739,78,3,27,255,84,1.3214,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","1","1","1"
"992",1330,"Savannah Café",2001,2,4,3,20,20,20,7,"",402,5.50348,5.49345,1.33548,569,48,7,27,179,38,1.1579,"0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","4"
"995",1334,"Entdecker: Exploring New Horizons",2001,2,4,4,90,90,90,10,"Area MajorityInfluence, Modular Board, Tile Placement",1957,6.50077,6.02047,1.272,2976,237,79,280,705,217,2.4424,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"5","2","2","5"
